'

0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 4, 2, 2, 1, 1, 1, 2, 0, 3, 2 
0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 0, 3, 0, 1, 0, 2, 3, 0, 5, 0, 3 
0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 4, 1, 2, 0, 5, 0, 7, 4, 0, 0 
0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 2, 7, 8, 2, 1, 0, 0, 6, 1, 0, 0, 2 
0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 4, 7, 11, 4, 2, 0, 7, 1, 1, 2, 0, 0 
0, 0, 0, 0, 0, 0, 0, 2, 6, 5, 8, 4, 4, 14, 0, 11, 0, 2, 5, 0, 2, 3 
0, 0, 0, 0, 0, 2, 1, 2, 3, 5, 12, 9, 8, 0, 14, 5, 1, 0, 1, 0, 1, 1 
0, 0, 0, 1, 3, 3, 1, 5, 7, 2, 10, 14, 0, 14, 9, 3, 6, 4, 0, 3, 0, 1 
0, 0, 4, 4, 1, 3, 4, 7, 10, 9, 24, 0, 27, 19, 19, 6, 11, 5, 7, 3, 4, 1 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 5, 2, 4, 5, 5, 13, 11, 24, 0, 21, 30, 17, 11, 4, 9, 1, 1, 2, 0, 0 
0, 5, 3, 2, 1, 6, 8, 6, 5, 0, 25, 35, 26, 11, 2, 5, 5, 1, 4, 0, 0, 0 
0, 1, 2, 3, 2, 4, 5, 11, 0, 7, 16, 22, 7, 1, 2, 1, 1, 3, 2, 0, 0, 0 
0, 0, 1, 2, 0, 2, 7, 0, 5, 6, 14, 7, 8, 5, 6, 1, 0, 3, 0, 0, 0, 0 
0, 2, 0, 1, 1, 3, 0, 7, 2, 4, 7, 5, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0 
0, 1, 1, 4, 5, 0, 4, 1, 1, 6, 8, 9, 2, 4, 0, 1, 0, 0, 0, 0, 0, 0 
0, 1, 1, 3, 0, 0, 2, 0, 1, 5, 4, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 5, 0, 2, 1, 0, 3, 0, 1, 4, 9, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 1, 3, 2, 1, 0, 0, 1, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 1, 1, 0, 1, 1, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
